name,type,diretorio,accuracy,loss,val_accuracy,val_loss,l2,dropout,min_lr,factor,patience,patienceReduce,batch_size,pesos,epoch,time,seed
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_38,0.1935714781284332,1.6478008031845093,0.2340019047260284,1.4483214616775513,0.05,0.4,1e-06,0.2,10.0,5.0,32.0,[?.1.1.1],18.0,1103.7157762999996,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_39,0.1930941194295883,1.6835507154464722,0.2285896241664886,1.4544074535369873,0.05,0.5,1e-06,0.2,10.0,5.0,32.0,[?.1.1.1],10.0,780.7819308000035,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_40,0.1860132068395614,1.6536846160888672,0.2168099284172058,1.4906376600265503,0.05,0.6,1e-06,0.2,10.0,5.0,32.0,[?.1.1.1],16.0,853.5580724999891,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_41,0.268279105424881,1.597667932510376,0.3126392960548401,1.3837045431137085,0.05,0.7,1e-06,0.2,10.0,5.0,32.0,[?.1.1.1],20.0,1006.2935797999962,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_42,0.6293261051177979,0.9911965131759644,0.577204704284668,1.1719321012496948,0.0001,0.2,1e-05,0.2,10.0,5.0,32.0,[?.1.1.1],20.0,876.263105400023,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_43,0.5668708682060242,1.15782368183136,0.577204704284668,1.1733617782592771,0.0001,0.2,1e-06,0.2,10.0,5.0,32.0,[?.1.1.1],12.0,628.917953600001,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_44,0.4854005873203277,1.3481359481811523,0.5380452275276184,1.2199255228042605,0.0001,0.2,1e-07,0.2,10.0,5.0,32.0,[?.1.1.1],7.0,525.2666994000028,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_45,0.5196912884712219,1.2616727352142334,0.531677782535553,1.11211097240448,0.0001,0.2,1e-05,0.3,10.0,5.0,32.0,[?.1.1.1],8.0,544.6344159000146,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_46,0.6044235825538635,1.0413771867752075,0.5425024032592773,1.332766890525818,0.0001,0.2,1e-06,0.3,10.0,5.0,32.0,[?.1.1.1],16.0,753.3228409000149,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_47,0.5664730668067932,1.107201337814331,0.5383635759353638,1.3903396129608154,0.0001,0.2,1e-07,0.3,10.0,5.0,32.0,[?.1.1.1],15.0,728.6050647000084,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_48,0.5465033054351807,1.1813030242919922,0.4998408257961273,1.3635262250900269,0.0001,0.2,1e-05,0.4,10.0,5.0,32.0,[?.1.1.1],11.0,604.1061893000151,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_49,0.5469806790351868,1.189824104309082,0.4498567283153534,1.3120613098144531,0.0001,0.2,1e-06,0.4,10.0,5.0,32.0,[?.1.1.1],9.0,591.1690666000068,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_50,0.6142095923423767,1.0267149209976196,0.5230818390846252,1.1989561319351196,0.0001,0.2,1e-07,0.4,10.0,5.0,32.0,[?.1.1.1],22.0,963.6755616999872,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_51,0.5151563286781311,1.2466202974319458,0.4928366839885711,1.258098006248474,0.0001,0.2,1e-05,0.5,10.0,5.0,32.0,[?.1.1.1],8.0,575.6855607999896,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_52,0.5929667949676514,1.0675818920135498,0.4664119780063629,1.2884973287582395,0.0001,0.2,1e-06,0.5,10.0,5.0,32.0,[?.1.1.1],23.0,957.7316331000184,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_53,0.6405441761016846,0.974386990070343,0.5425024032592773,1.2149741649627686,0.0001,0.2,1e-07,0.5,10.0,5.0,32.0,[?.1.1.1],27.0,1069.1772766999784,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_54,0.368684858083725,1.5244489908218384,0.4081502854824066,1.368420124053955,0.0001,0.7,1e-05,0.2,10.0,5.0,32.0,[?.1.1.1],12.0,715.8557731999899,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_55,0.3666958510875702,1.5124882459640503,0.4202483296394348,1.2911014556884766,0.0001,0.7,1e-06,0.2,10.0,5.0,32.0,[?.1.1.1],32.0,1292.1602663999947,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_56,0.2051078081130981,1.888033509254456,0.1763769537210464,1.4343881607055664,0.0001,0.7,1e-07,0.2,10.0,5.0,32.0,[?.1.1.1],1.0,372.659220099973,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_57,0.3820510804653168,1.4916150569915771,0.4489016234874725,1.2275367975234983,0.0001,0.7,1e-05,0.3,10.0,5.0,32.0,[?.1.1.1],21.0,981.4252487000194,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_58,0.4905720353126526,1.3267426490783691,0.4781916439533233,1.1834694147109983,0.0001,0.7,1e-06,0.3,10.0,5.0,32.0,[?.1.1.1],26.0,1064.8874776000157,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_59,0.1949240267276764,1.8861392736434937,0.1693728119134903,1.4980510473251345,0.0001,0.7,1e-07,0.3,10.0,5.0,32.0,[?.1.1.1],1.0,273.55261129999417,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_60,0.4947887659072876,1.2502092123031616,0.5109837651252747,1.3260955810546875,0.0001,0.7,1e-05,0.4,10.0,5.0,32.0,[?.1.1.1],19.0,850.117419999995,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_61,0.1958787441253662,1.874349355697632,0.1693728119134903,1.4515645503997805,0.0001,0.7,1e-06,0.4,10.0,5.0,32.0,[?.1.1.1],1.0,308.4264030000195,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_62,0.2139390558004379,1.882318019866944,0.2588347792625427,1.4577481746673584,0.0001,0.7,1e-07,0.4,10.0,5.0,32.0,[?.1.1.1],1.0,646.0847593999933,
