name,type,diretorio,accuracy,loss,val_accuracy,val_loss,l2,dropout,min_lr,factor,patience,patienceReduce,batch_size,pesos,epoch,time,seed
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_38,0.1946057826280594,1.6419544219970703,0.2021649181842804,1.496735453605652,0.05,0.4,1e-06,0.2,10.0,5.0,32.0,[?.1.1.1],28.0,1103.7157762999996,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_39,0.1957196295261383,1.6441727876663208,0.2247691750526428,1.479051113128662,0.05,0.5,1e-06,0.2,10.0,5.0,32.0,[?.1.1.1],20.0,780.7819308000035,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_40,0.1995385438203811,1.642919421195984,0.2056669890880584,1.4933874607086182,0.05,0.6,1e-06,0.2,10.0,5.0,32.0,[?.1.1.1],26.0,853.5580724999891,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_41,0.2903174459934234,1.58207368850708,0.2960840463638305,1.4197547435760498,0.05,0.7,1e-06,0.2,10.0,5.0,32.0,[?.1.1.1],30.0,1006.2935797999962,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_42,0.6504097580909729,0.9479080438613892,0.5918497443199158,1.2524734735488892,0.0001,0.2,1e-05,0.2,10.0,5.0,32.0,[?.1.1.1],30.0,876.263105400023,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_43,0.6220861077308655,1.0076539516448977,0.5415472984313965,1.2642033100128174,0.0001,0.2,1e-06,0.2,10.0,5.0,32.0,[?.1.1.1],22.0,628.917953600001,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_44,0.6061739325523376,1.0447452068328855,0.5383635759353638,1.285875916481018,0.0001,0.2,1e-07,0.2,10.0,5.0,32.0,[?.1.1.1],17.0,525.2666994000028,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_45,0.6170737743377686,1.0234798192977903,0.4966571033000946,1.210277080535889,0.0001,0.2,1e-05,0.3,10.0,5.0,32.0,[?.1.1.1],18.0,544.6344159000146,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_46,0.6385551691055298,0.9805266857147216,0.5670168995857239,1.6997320652008057,0.0001,0.2,1e-06,0.3,10.0,5.0,32.0,[?.1.1.1],26.0,753.3228409000149,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_47,0.6095154881477356,1.025251388549805,0.5714740753173828,1.9692816734313965,0.0001,0.2,1e-07,0.3,10.0,5.0,32.0,[?.1.1.1],25.0,728.6050647000084,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_48,0.6154029965400696,1.0222491025924685,0.5431391000747681,1.612809181213379,0.0001,0.2,1e-05,0.4,10.0,5.0,32.0,[?.1.1.1],21.0,604.1061893000151,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_49,0.6087198853492737,1.0477384328842163,0.5326329469680786,1.3414695262908936,0.0001,0.2,1e-06,0.4,10.0,5.0,32.0,[?.1.1.1],19.0,591.1690666000068,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_50,0.6446813344955444,0.9650754928588868,0.613498866558075,1.3473238945007324,0.0001,0.2,1e-07,0.4,10.0,5.0,32.0,[?.1.1.1],32.0,963.6755616999872,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_51,0.5949558615684509,1.0730019807815552,0.5310410857200623,1.4178160429000854,0.0001,0.2,1e-05,0.5,10.0,5.0,32.0,[?.1.1.1],18.0,575.6855607999896,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_52,0.620972216129303,0.9989662766456604,0.4931550323963165,1.3135844469070437,0.0001,0.2,1e-06,0.5,10.0,5.0,32.0,[?.1.1.1],33.0,957.7316331000184,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_53,0.6587636470794678,0.9453473687171936,0.578478217124939,1.407152771949768,0.0001,0.2,1e-07,0.5,10.0,5.0,32.0,[?.1.1.1],37.0,1069.1772766999784,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_54,0.4972551465034485,1.2479151487350464,0.5186246633529663,1.8956074714660645,0.0001,0.7,1e-05,0.2,10.0,5.0,32.0,[?.1.1.1],22.0,715.8557731999899,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_55,0.3772774338722229,1.4961695671081543,0.4036930799484253,1.3186007738113403,0.0001,0.7,1e-06,0.2,10.0,5.0,32.0,[?.1.1.1],42.0,1292.1602663999947,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_56,0.1826716512441635,1.695528864860535,0.1706462949514389,1.5471831560134888,0.0001,0.7,1e-07,0.2,10.0,5.0,32.0,[?.1.1.1],11.0,372.659220099973,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_57,0.471238762140274,1.310382604598999,0.4756447076797485,1.315467357635498,0.0001,0.7,1e-05,0.3,10.0,5.0,32.0,[?.1.1.1],31.0,981.4252487000194,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_58,0.5592330098152161,1.1511530876159668,0.473416119813919,1.3018144369125366,0.0001,0.7,1e-06,0.3,10.0,5.0,32.0,[?.1.1.1],36.0,1064.8874776000157,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_59,0.1799665838479995,1.7030503749847412,0.1744667291641235,1.5092332363128662,0.0001,0.7,1e-07,0.3,10.0,5.0,32.0,[?.1.1.1],11.0,273.55261129999417,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_60,0.5301137566566467,1.18264901638031,0.5014326572418213,1.4089940786361694,0.0001,0.7,1e-05,0.4,10.0,5.0,32.0,[?.1.1.1],29.0,850.117419999995,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_61,0.2350226789712906,1.6616871356964111,0.2355937659740448,1.5064359903335571,0.0001,0.7,1e-06,0.4,10.0,5.0,32.0,[?.1.1.1],11.0,308.4264030000195,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_62,0.2342270612716674,1.6651819944381714,0.2400509417057037,1.469542145729065,0.0001,0.7,1e-07,0.4,10.0,5.0,32.0,[?.1.1.1],11.0,646.0847593999933,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_63,0.2226907461881637,1.6766270399093628,0.1808341294527053,1.5357156991958618,0.0001,0.7,1e-05,0.5,10.0,5.0,32.0,[?.1.1.1],12.0,817.3365734000108,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_64,0.2660513818264007,1.639760136604309,0.2336835414171219,1.4385713338851929,0.0001,0.7,1e-06,0.5,10.0,5.0,32.0,[?.1.1.1],11.0,487.8414410999976,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_65,0.5473784804344177,1.161393642425537,0.536453366279602,1.2379357814788818,0.0001,0.7,1e-07,0.5,10.0,5.0,32.0,[?.1.1.1],40.0,1337.1695129,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_66,0.1747951358556747,1.7082921266555786,0.1693728119134903,1.5535622835159302,0.0001,0.8,1e-05,0.2,10.0,5.0,32.0,[?.1.1.1],11.0,383.3206099999952,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_67,0.1764659136533737,1.7040374279022217,0.1693728119134903,1.5476865768432615,0.0001,0.8,1e-06,0.2,10.0,5.0,32.0,[?.1.1.1],12.0,400.9080334000173,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_68,0.1849789172410965,1.70702064037323,0.1693728119134903,1.5541654825210571,0.0001,0.8,1e-07,0.2,10.0,5.0,32.0,[?.1.1.1],11.0,422.6902305000112,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_69,0.1763067841529846,1.7122544050216677,0.1693728119134903,1.5213994979858398,0.0001,0.8,1e-05,0.3,10.0,5.0,32.0,[?.1.1.1],11.0,415.1832928999793,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_70,0.1779775619506836,1.712354063987732,0.1693728119134903,1.510453224182129,0.0001,0.8,1e-06,0.3,10.0,5.0,32.0,[?.1.1.1],11.0,381.36384279999766,
