name,type,diretorio,accuracy,loss,val_accuracy,val_loss,l2,dropout,min_lr,factor,patience,patienceReduce,batch_size,epoch,time,seed
AffectnetBalanced,last,models/tests/AffectnetBalanced/AffectnetBalanced_24,0.6781842708587646,0.7930060029029846,0.6960996985435486,0.7794570922851562,0.0001,0.5,1e-07,0.5,10,5,32,63,3938.547858776001,6743.0
AffectnetBalanced,last,models/tests/AffectnetBalanced/AffectnetBalanced_25,0.6118563413619995,0.9041815400123596,0.6224268674850464,0.9039761424064636,0.0001,0.6,1e-07,0.1,10,5,32,34,2133.1390483060004,6743.0
AffectnetBalanced,last,models/tests/AffectnetBalanced/AffectnetBalanced_26,0.6611788868904114,0.8133645057678223,0.68553626537323,0.7814531922340393,0.0001,0.6,1e-07,0.2,10,5,32,61,3804.309729659,6743.0
AffectnetBalanced,last,models/tests/AffectnetBalanced/AffectnetBalanced_27,0.6430894136428833,0.853811502456665,0.6538461446762085,0.8586638569831848,0.0001,0.6,1e-07,0.3,10,5,32,45,2849.6421921200017,6743.0
AffectnetBalanced,last,models/tests/AffectnetBalanced/AffectnetBalanced_28,0.6631436347961426,0.8200016617774963,0.6828277111053467,0.7745488286018372,0.0001,0.6,1e-07,0.4,10,5,32,53,3327.064479727,6743.0
AffectnetBalanced,last,models/tests/AffectnetBalanced/AffectnetBalanced_29,0.6296070218086243,0.887560248374939,0.6248645782470703,0.9283201098442078,0.0001,0.6,1e-07,0.5,10,5,32,30,1898.5137055999985,6743.0
AffectnetBalanced,last,models/tests/AffectnetBalanced/AffectnetBalanced_30,0.5392276644706726,1.039083480834961,0.5287107229232788,1.1831183433532717,0.0001,0.7,1e-07,0.1,10,5,32,26,1652.1762297480018,6743.0
AffectnetBalanced,last,models/tests/AffectnetBalanced/AffectnetBalanced_31,0.5794715285301208,0.960180938243866,0.6053629517555237,0.9242019653320312,0.0001,0.7,1e-07,0.2,10,5,32,31,1965.9235996009995,6743.0
AffectnetBalanced,last,models/tests/AffectnetBalanced/AffectnetBalanced_32,0.6530487537384033,0.8234851360321045,0.6820151805877686,0.7943830490112305,0.0001,0.7,1e-07,0.3,10,5,32,65,4503.491673460001,6743.0
AffectnetBalanced,last,models/tests/AffectnetBalanced/AffectnetBalanced_33,0.6406503915786743,0.8490592837333679,0.6665763854980469,0.8123765587806702,0.0001,0.7,1e-07,0.4,10,5,32,61,3862.264588453996,6743.0
AffectnetBalanced,last,models/tests/AffectnetBalanced/AffectnetBalanced_34,0.5357723832130432,1.059267520904541,0.4591007530689239,1.7683895826339722,0.0001,0.7,1e-07,0.5,10,5,32,16,1057.8816788969998,6743.0
AffectnetBalanced,last,models/tests/AffectnetBalanced/AffectnetBalanced_35,0.3884146213531494,1.301539182662964,0.2814192771911621,1.9427694082260127,0.0001,0.8,1e-07,0.1,10,5,32,11,742.7576378759986,6743.0
AffectnetBalanced,last,models/tests/AffectnetBalanced/AffectnetBalanced_36,0.4040650427341461,1.2657132148742676,0.3039003312587738,2.085904121398926,0.0001,0.8,1e-07,0.2,10,5,32,12,806.1417008950011,6743.0
AffectnetBalanced,last,models/tests/AffectnetBalanced/AffectnetBalanced_37,0.393902450799942,1.282946228981018,0.2941495180130005,2.1038949489593506,0.0001,0.8,1e-07,0.3,10,5,32,11,742.1899286929984,6743.0
AffectnetBalanced,last,models/tests/AffectnetBalanced/AffectnetBalanced_38,0.3955962061882019,1.2752834558486938,0.3014626204967499,2.0486738681793213,0.0001,0.8,1e-07,0.4,10,5,32,11,744.3536843059992,6743.0
AffectnetBalanced,last,models/tests/AffectnetBalanced/AffectnetBalanced_39,0.4012872576713562,1.2646145820617676,0.3564463853836059,1.6908657550811768,0.0001,0.8,1e-07,0.5,10,5,32,11,744.7891652809994,6743.0
AffectnetBalanced,last,models/tests/AffectnetBalanced/AffectnetBalanced_40,0.7184281945228577,0.745667576789856,0.6885157227516174,0.8434795141220093,0.001,0.1,1e-07,0.1,10,5,32,37,2406.302775545002,6743.0
